gil,type,command,cycles,instructions,task_clock,time_elapsed,user_time,sys_time
true,multiprocessing,map.py,162654382189,244913444125,61213.77,7.284364548,61.062881000,0.153536000
true,multiprocessing,map.py,162750146435,245178750528,61146.74,7.517914338,60.886837000,0.260590000
true,multiprocessing,map.py,162656063129,244972338370,66792.38,8.352090574,66.573372000,0.215980000
true,multiprocessing,map.py,162025570024,244772665353,60368.06,7.200253975,60.125679000,0.241637000
true,multiprocessing,map.py,163289973892,245516205774,61624.50,7.348474132,61.342003000,0.281279000
true,multiprocessing,map.py,163653779088,245226524873,62324.57,7.483342957,62.163281000,0.162539000
true,multiprocessing,map.py,163377238763,245269531007,66236.87,7.846091966,65.953176000,0.284091000
true,multiprocessing,map.py,162568911823,245072279414,60484.39,7.196768686,60.327642000,0.161241000
true,multiprocessing,map.py,167012469533,244720770584,61698.52,7.337716546,61.449702000,0.251238000
true,multiprocessing,map.py,162886630399,244836722560,60148.27,7.151125170,59.952843000,0.193796000
true,multiprocessing,map.py,163905379727,244976614588,67453.20,8.567948418,67.215623000,0.237595000
true,multiprocessing,map.py,162949422905,245026464326,60366.30,7.244099341,60.243979000,0.118019000
true,multiprocessing,map.py,163140953635,245044877778,61022.50,7.265910792,60.739381000,0.282131000
true,multiprocessing,map.py,162442414182,244924477071,60429.20,7.203721090,60.234969000,0.192288000
true,multiprocessing,map.py,162664006557,245247879044,68057.09,8.055235057,67.910925000,0.142222000
true,multiprocessing,map.py,163123413190,245114089669,60616.88,7.228680157,60.442504000,0.174649000
true,multiprocessing,map.py,162977947333,245011693700,60219.81,7.200574513,60.058301000,0.162691000
true,multiprocessing,map.py,162405840270,245152925442,60075.12,7.166830179,59.811631000,0.260751000
true,multiprocessing,map.py,168110666693,245610239769,66559.27,7.932967714,66.319041000,0.240249000
true,multiprocessing,map.py,165397694540,245096362144,61332.02,7.758031049,61.106061000,0.223209000
true,multiprocessing,map.py,162340743547,245169866469,60885.67,7.218337188,60.575680000,0.305415000
true,multiprocessing,map.py,165803218927,244945340290,60832.42,7.271591764,60.703263000,0.130867000
true,multiprocessing,map.py,162249129456,244953505714,66401.55,7.875660269,66.270294000,0.131630000
true,multiprocessing,map.py,163137368141,244994683142,59824.00,7.119534334,59.582943000,0.241064000
true,multiprocessing,map.py,160682468486,244713431454,61560.18,7.387606843,61.425833000,0.128597000
true,multiprocessing,map.py,163671248696,244923708769,60814.40,7.221154224,60.687084000,0.129570000
